source,target,value,,
Number of Engineers Assigned to Each Product,Design/Development,1,,
Status of Each Task in Development Project,Design/Development,1,,
Core Issues and Resolutions for Each Product,Design/Development,1,,
Revenue Plan by Product,Design/Development,1,,
CAD Drawings,Design/Development,1,,
Lessons Learned in Development Process,Design/Development,1,,
List of Products that Belong in Each Configuration,Design/Development,1,,
Pricing of Products in Each Configuration,Design/Development,1,,
Status in HDP of Product,Design/Development,1,,
Sales - Gross,Design/Development,1,,
Sales - % Change,Design/Development,1,,
Margin - Gross,Design/Development,1,,
Margin - % Change,Design/Development,1,,
Direct Opex - Gross,Design/Development,1,,
Direct Opex - % Change,Design/Development,1,,
Direct Op Income - Gross,Design/Development,1,,
Direct Op Income - % Change,Design/Development,1,,
Spend on Warranty - Gross,Design/Development,1,,
Spend on Warranty - % Change,Design/Development,1,,
Royalty - Gross,Design/Development,1,,
Royalty - % Change,Design/Development,1,,
Direct Op Income - Gross,Design/Development,1,,
Direct Op Income - % Change,Design/Development,1,,
Projected Total Investment Required for Project,Design/Development,1,,
Projected Gross Margin for Project,Design/Development,1,,
Projected 10 Year MVA for Project,Design/Development,1,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Design/Development,1,,
Project Problem Statement,Design/Development,1,,
Customer Needs met by Project,Design/Development,1,,
Strategic Needs Satisfied by Project,Design/Development,1,,
Project Positioning Statement,Design/Development,1,,
Project Key Market Based Product Criteria,Design/Development,1,,
Project Points of Differentiation,Design/Development,1,,
Project Vocabulary,Design/Development,1,,
Project Competitive Assessment,Design/Development,1,,
Project Competitive Cost Comparisons,Design/Development,1,,
Project Cost Target,Design/Development,1,,
Project Cost Estimate,Design/Development,1,,
Project Design Challenges,Design/Development,1,,
Project ID,Design/Development,1,,
Project Status - Project in Trouble,Design/Development,1,,
Project Status - Project Stage,Design/Development,1,,
Project Status - Next Gate for Project,Design/Development,1,,
Projected Budget for Month by Project,Design/Development,1,,
Actual Budget for Month by Project,Design/Development,1,,
Date of Next Milestone for Project,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Total Investment Needed by Project,Design/Development,1,,
Development Expense by Project,Design/Development,1,,
Market Launch Expense,Design/Development,1,,
Target Product Cost,Design/Development,1,,
Start Order Entry,Design/Development,1,,
12 Month Sales Forecast,Design/Development,1,,
Product Development Status,Design/Development,1,,
Market Launch Status,Design/Development,1,,
Project Financial Status,Design/Development,1,,
Project Operations Status,Design/Development,1,,
Project Market Opportunity,Design/Development,1,,
Project Value Proposition,Design/Development,1,,
Projected Annual Net Sales,Design/Development,1,,
Projected Gross Margin,Design/Development,1,,
Projected EVA,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Recommended Capital Investment by Project,Design/Development,1,,
Recommended Expense Investment by Project,Design/Development,1,,
Projected Year 1 Sales,Design/Development,1,,
Projected 5 Year Sales,Design/Development,1,,
Projected Total Investment,Design/Development,1,,
Projected Gross Margin,Design/Development,1,,
Projected 5 Year Operating Income,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Narrative of Project Design Principles,Design/Development,1,,
Narrative of Product Concept,Design/Development,1,,
Market Opportunity Analysis,Design/Development,1,,
Market Criteria,Design/Development,1,,
Market Launch Plan (which Showrooms),Design/Development,1,,
Resource Plan - Full Time Engineers Required,Design/Development,1,,
Narrative of Project Design/ Engineering Risks,Design/Development,1,,
Narrative of Project Marketing Risks,Design/Development,1,,
Narrative of Project Operations Risk,Design/Development,1,,
Narrative of Project Financial Risks,Design/Development,1,,
Names of Teams Engaged in Project Design Process,Design/Development,1,,
Capacity - Total Headcount Needed for Current Project,Design/Development,1,,
Capacity - Total Headcount Available,Design/Development,1,,
Strategic Objective - Intuitive Adaptation,Design/Development,1,,
Strategic Objective - Ultimate Settings,Design/Development,1,,
Strategic Objective - Exceptional Accessories,Design/Development,1,,
Strategic Objective - Living Office Workplace Expertise,Design/Development,1,,
Projected Year 4 Sales for Product in Development,Design/Development,1,,
Level of Innovation for Product in Development,Design/Development,1,,
Anticipated Buzz Level of Product in Development,Design/Development,1,,
Name of Product in Developent,Design/Development,1,,
Anticipated Launch Date for Product in Development,Design/Development,1,,
Projected Living Office Readiness,Design/Development,1,,
Dealer Living Office Readiness,Design/Development,1,,
Records of Meetings Attended,IT,1,,
Records of Emails Sent (Sender and Recipients),IT,1,,
Records of Documents Shared (Author and Recipients),IT,1,,
Requested Screen Resolution,IT,1,,
Room Motion Sensor Activity,IT,1,,
Laptop Plugged In to presentation system,IT,1,,
Presentation system turned on,IT,1,,
Meeting Logs - Rooms,IT,1,,
Meeting Logs - People,IT,1,,
Meeting Logs - Scheduler,IT,1,,
Meeting Logs - Joined by Phone,IT,1,,
Shared Documents,IT,1,,
Email Logs,IT,1,,
Documents Shared Externally,IT,1,,
Most Searched Words on HermanMiller.com,Marketing,1,,
HermanMiller.com Page Views by Product,Marketing,1,,
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Marketing,1,,
Top Web Assets Downloaded from HermanMiller.com by Category,Marketing,1,,
Top Brochures Shipped by Product,Marketing,1,,
Top Brochures Shipped - Workstations,Marketing,1,,
Top Brochures Shipped - Storage,Marketing,1,,
Sales - Gross,Marketing,1,,
Sales - % Change,Marketing,1,,
Margin - Gross,Marketing,1,,
Margin - % Change,Marketing,1,,
Direct Opex - Gross,Marketing,1,,
Direct Opex - % Change,Marketing,1,,
Direct Op Income - Gross,Marketing,1,,
Direct Op Income - % Change,Marketing,1,,
Spend on Warranty - Gross,Marketing,1,,
Spend on Warranty - % Change,Marketing,1,,
Royalty - Gross,Marketing,1,,
Royalty - % Change,Marketing,1,,
Direct Op Income - Gross,Marketing,1,,
Direct Op Income - % Change,Marketing,1,,
Strategic Objective - Intuitive Adaptation,Marketing,1,,
Strategic Objective - Ultimate Settings,Marketing,1,,
Strategic Objective - Exceptional Accessories,Marketing,1,,
Strategic Objective - Living Office Workplace Expertise,Marketing,1,,
Projected Year 4 Sales for Product in Development,Marketing,1,,
Level of Innovation for Product in Development,Marketing,1,,
Anticipated Buzz Level of Product in Development,Marketing,1,,
Name of Product in Developent,Marketing,1,,
Total Number of Online Sales,Marketing,1,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Marketing,1,,
Market Launch Expense,Marketing,1,,
Start Order Entry,Marketing,1,,
12 Month Sales Forecast,Marketing,1,,
Market Launch Status,Marketing,1,,
Project Value Proposition,Marketing,1,,
Projected Annual Net Sales,Marketing,1,,
Market Criteria,Marketing,1,,
Market Launch Plan (which Showrooms),Marketing,1,,
Narrative of Project Marketing Risks,Marketing,1,,
Paid Search Criteria â€“ Google Ad Words,Marketing,1,,
HermanMiller.com Page Views,Marketing,1,,
HermanMiller.com Page Views,Marketing,1,,
Device Used to Access HermanMiller.com,Marketing,1,,
% New Users Accessing HermanMiller.com,Marketing,1,,
Page accessed first after HermanMiller.com home page,Marketing,1,,
Number of iPad App Portal Downloads,Marketing,1,,
Anticipated Launch Date for Product in Development,Marketing,1,,
Projected Living Office Readiness,Marketing,1,,
Dealer Living Office Readiness,Marketing,1,,
% Respondents Able to Complete Tasks Online,Marketing,1,,
Website User Satisfaction,Marketing,1,,
Website Uptime,Marketing,1,,
Customer Personas,Marketing,1,,
Brand Awareness by Consumer Segments,Marketing,1,,
Brand Sentiment by Consumer Segments,Marketing,1,,
Online Generated Leads,Marketing,1,,
Self Service Usage,Marketing,1,,
Total Number of Online Accounts,Marketing,1,,
Website Satisfaction - HermanMiller.com,Marketing,1,,
Nielsen Segment Analysis,Marketing,1,,
Website Traffic Composition by State by page on site,Marketing,1,,
Website Traffic Gender Composition by Page,Marketing,1,,
Website Traffic Age Composition by Page,Marketing,1,,
Website Traffic by Income by Page,Marketing,1,,
Website Traffic by Net Worth by Page,Marketing,1,,
Website Traffic by Career Status by Page,Marketing,1,,
Website Traffic Top 5 Occupations by Page,Marketing,1,,
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Marketing,1,,
Website Traffic Length of Residence at Current address by Page,Marketing,1,,
Website Traffic Top 5 Auto Make by Page,Marketing,1,,
Website Traffic Top 4 Psychographies by Page,Marketing,1,,
Count of File Formats for Downloaded Product Brochures,Marketing,1,,
Average Product Downloads per User,Marketing,1,,
Pageviews by Setting,Marketing,1,,
Number of Page Views by City,Marketing,1,,
Number of Users by City,Marketing,1,,
Work Products by Pricepoint,Marketing,1,,
Price Points for Each Product Line,Marketing,1,,
Suitability of Each Product Line to Each Setting,Marketing,1,,
Suitability of Individual Products by Setting,Marketing,1,,
Pricing for Product Line by Setting by Size,Marketing,1,,
Gross Margin for Product Line by Setting by Size,Marketing,1,,
Ranking of Seating Products to Each Work Setting,Marketing,1,,
Square Feet Needed for Designed Configuration,Marketing,1,,
Anticipated Landscape Types by Year to 2020,Marketing,1,,
Anticipated Setting breakdown by Year to 2020,Marketing,1,,
Spatial Recipe by Setting,Marketing,1,,
Technology Needed For Setting,Marketing,1,,
CAD Drawings,Marketing,1,,
Performance Environments - Chair Occupancy,Performance Environments,1,,
Performance Environments - Room Occupancy,Performance Environments,1,,
Ranking of Organization Structure,Performance Environments,1,,
Ranking of Work Processes,Performance Environments,1,,
Ranking of Work Location,Performance Environments,1,,
Ranking of Interactions,Performance Environments,1,,
Ranking of Individual Work,Performance Environments,1,,
Ranking of Group Work,Performance Environments,1,,
Number of Engineers Assigned to Each Product,Product Management,1,,
Status of Each Task in Development Project,Product Management,1,,
Core Issues and Resolutions for Each Product,Product Management,1,,
Revenue Plan by Product,Product Management,1,,
Lessons Learned in Development Process,Product Management,1,,
Status in HDP of Product,Product Management,1,,
CAD Drawings,Product Management,1,,
Projected Total Investment Required for Project,Product Management,1,,
Projected Gross Margin for Project,Product Management,1,,
Projected 10 Year MVA for Project,Product Management,1,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Product Management,1,,
Project Problem Statement,Product Management,1,,
Customer Needs met by Project,Product Management,1,,
Strategic Needs Satisfied by Project,Product Management,1,,
Project Positioning Statement,Product Management,1,,
Project Key Market Based Product Criteria,Product Management,1,,
Project Points of Differentiation,Product Management,1,,
Project Vocabulary,Product Management,1,,
Project Competitive Assessment,Product Management,1,,
Project Competitive Cost Comparisons,Product Management,1,,
Project Cost Target,Product Management,1,,
Project Cost Estimate,Product Management,1,,
Project Design Challenges,Product Management,1,,
Project ID,Product Management,1,,
Project Status - Project in Trouble,Product Management,1,,
Project Status - Project Stage,Product Management,1,,
Project Status - Next Gate for Project,Product Management,1,,
Projected Budget for Month by Project,Product Management,1,,
Actual Budget for Month by Project,Product Management,1,,
Date of Next Milestone for Project,Product Management,1,,
Projected 5 Year MVA Cumulative,Product Management,1,,
Total Investment Needed by Project,Product Management,1,,
Development Expense by Project,Product Management,1,,
Market Launch Expense,Product Management,1,,
Target Product Cost,Product Management,1,,
Start Order Entry,Product Management,1,,
12 Month Sales Forecast,Product Management,1,,
Product Development Status,Product Management,1,,
Market Launch Status,Product Management,1,,
Project Financial Status,Product Management,1,,
Project Operations Status,Product Management,1,,
Project Market Opportunity,Product Management,1,,
Project Value Proposition,Product Management,1,,
Projected Annual Net Sales,Product Management,1,,
Projected Gross Margin,Product Management,1,,
Projected EVA,Product Management,1,,
Projected 5 Year MVA Cumulative,Product Management,1,,
Recommended Capital Investment by Project,Product Management,1,,
Recommended Expense Investment by Project,Product Management,1,,
Projected Year 1 Sales,Product Management,1,,
Projected 5 Year Sales,Product Management,1,,
Projected Total Investment,Product Management,1,,
Projected Gross Margin,Product Management,1,,
Projected 5 Year Operating Income,Product Management,1,,
Projected 5 Year MVA Cumulative,Product Management,1,,
Narrative of Project Design Principles,Product Management,1,,
Narrative of Product Concept,Product Management,1,,
Market Opportunity Analysis,Product Management,1,,
Market Criteria,Product Management,1,,
Market Launch Plan (which Showrooms),Product Management,1,,
Resource Plan - Full Time Engineers Required,Product Management,1,,
Narrative of Project Design/ Engineering Risks,Product Management,1,,
Narrative of Project Marketing Risks,Product Management,1,,
Narrative of Project Operations Risk,Product Management,1,,
Narrative of Project Financial Risks,Product Management,1,,
Names of Teams Engaged in Project Design Process,Product Management,1,,
Capacity - Total Headcount Needed for Current Project,Product Management,1,,
Capacity - Total Headcount Available,Product Management,1,,
Sales - Gross,Product Management,1,,
Sales - % Change,Product Management,1,,
Margin - Gross,Product Management,1,,
Margin - % Change,Product Management,1,,
Direct Opex - Gross,Product Management,1,,
Direct Opex - % Change,Product Management,1,,
Direct Op Income - Gross,Product Management,1,,
Direct Op Income - % Change,Product Management,1,,
Spend on Warranty - Gross,Product Management,1,,
Spend on Warranty - % Change,Product Management,1,,
Royalty - Gross,Product Management,1,,
Royalty - % Change,Product Management,1,,
Direct Op Income - Gross,Product Management,1,,
Direct Op Income - % Change,Product Management,1,,
Projected Total Investment Required for Project,Research,1,,
Projected Gross Margin for Project,Research,1,,
Projected 10 Year MVA for Project,Research,1,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Research,1,,
Project Problem Statement,Research,1,,
Customer Needs met by Project,Research,1,,
Strategic Needs Satisfied by Project,Research,1,,
Project Positioning Statement,Research,1,,
Project Key Market Based Product Criteria,Research,1,,
Project Points of Differentiation,Research,1,,
Project Vocabulary,Research,1,,
Project Competitive Assessment,Research,1,,
Project Competitive Cost Comparisons,Research,1,,
Project Cost Target,Research,1,,
Project Cost Estimate,Research,1,,
Project Design Challenges,Research,1,,
Project ID,Research,1,,
Project Status - Project in Trouble,Research,1,,
Project Status - Project Stage,Research,1,,
Project Status - Next Gate for Project,Research,1,,
Projected Budget for Month by Project,Research,1,,
Actual Budget for Month by Project,Research,1,,
Date of Next Milestone for Project,Research,1,,
Projected 5 Year MVA Cumulative,Research,1,,
Total Investment Needed by Project,Research,1,,
Development Expense by Project,Research,1,,
Project Financial Status,Research,1,,
Project Operations Status,Research,1,,
Project Market Opportunity,Research,1,,
Projected Gross Margin,Research,1,,
Projected EVA,Research,1,,
Projected 5 Year MVA Cumulative,Research,1,,
Recommended Capital Investment by Project,Research,1,,
Recommended Expense Investment by Project,Research,1,,
Projected Year 1 Sales,Research,1,,
Projected 5 Year Sales,Research,1,,
Projected Total Investment,Research,1,,
Projected Gross Margin,Research,1,,
Projected 5 Year Operating Income,Research,1,,
Projected 5 Year MVA Cumulative,Research,1,,
Narrative of Project Design Principles,Research,1,,
Narrative of Product Concept,Research,1,,
Market Opportunity Analysis,Research,1,,
Resource Plan - Full Time Engineers Required,Research,1,,
Narrative of Project Design/ Engineering Risks,Research,1,,
Narrative of Project Operations Risk,Research,1,,
Narrative of Project Financial Risks,Research,1,,
Names of Teams Engaged in Project Design Process,Research,1,,
Capacity - Total Headcount Needed for Current Project,Research,1,,
Capacity - Total Headcount Available,Research,1,,
Job Title of Respondant,Research,1,,
Region of Respondant,Research,1,,
Company Size of Respondant,Research,1,,
Aesthetic/Importance to Company of Respondant,Research,1,,
Degree to Which Technology is Having an Impact on Respondant's Company,Research,1,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Research,1,,
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Research,1,,
Percent of Workplace Reconfigured Annually at Respondant's Company,Research,1,,
Where Respondant Obtains Workplace Ideas,Research,1,,
Most Important Things in Creating Workplaces Three Years From Now,Research,1,,
Tools Company Offers to Let Teams Collaborate Virtually,Research,1,,
Sales - Gross,Research,1,,
Sales - % Change,Research,1,,
Margin - Gross,Research,1,,
Margin - % Change,Research,1,,
Direct Opex - Gross,Research,1,,
Direct Opex - % Change,Research,1,,
Direct Op Income - Gross,Research,1,,
Direct Op Income - % Change,Research,1,,
Spend on Warranty - Gross,Research,1,,
Spend on Warranty - % Change,Research,1,,
Royalty - Gross,Research,1,,
Royalty - % Change,Research,1,,
Direct Op Income - Gross,Research,1,,
Direct Op Income - % Change,Research,1,,
Strategic Objective - Intuitive Adaptation,Research,1,,
Strategic Objective - Ultimate Settings,Research,1,,
Strategic Objective - Exceptional Accessories,Research,1,,
Strategic Objective - Living Office Workplace Expertise,Research,1,,
Projected Year 4 Sales for Product in Development,Research,1,,
Level of Innovation for Product in Development,Research,1,,
Anticipated Buzz Level of Product in Development,Research,1,,
Name of Product in Developent,Research,1,,
Anticipated Launch Date for Product in Development,Research,1,,
Projected Living Office Readiness,Research,1,,
Dealer Living Office Readiness,Research,1,,
Growth by MSA Region by Year,Sales,1,,
Shipment Growth by MSA Region by Year,Sales,1,,
Customer Opportunity Products,Sales,1,,
Total Sales by Product SKU,Sales,1,,
Total Sales by Data or Order,Sales,1,,
List of Top Customers by MSA Region,Sales,1,,
Sales Quantity by Month by Manufacturing Cell,Sales,1,,
Top Potential Customers by MSA Region,Sales,1,,
Market Size by MSA Region by Year,Sales,1,,
Potential Sales by MSA Region by Year,Sales,1,,
Shipments by MSA Region by Year,Sales,1,,
Target Sales by MSA Region by Year,Sales,1,,
Target Sales by MSA Region by Segment by Year,Sales,1,,
Number of Employees at each Customer,Sales,1,,
Ranking of Each Customer Nationally,Sales,1,,
Potential Sales for Projected Per Customer,Sales,1,,
Product Margin of Dealer Compared to Average Dealer by MSA Region,Sales,1,,
Dealer Discounting compared to average dealer discounting by MSA Region,Sales,1,,
Sales vs Plan by MSA Region,Sales,1,,
Customer Name,Sales,1,,
Customer ID,Sales,1,,
Customer Address,Sales,1,,
Customer Annual Revenue,Sales,1,,
Customer Number of Employees,Sales,1,,
Customer Opportunity ID,Sales,1,,
Customer Opportunity Name,Sales,1,,
Customer Opportunity Description,Sales,1,,
Customer Opportunity Value,Sales,1,,
Years HM has had relaitonship with customer,Sales,1,,
Customer Sales Region,Sales,1,,
Customer NAICs Code,Sales,1,,
Customer Jigsaw company ID,Sales,1,,
Customer Duns Company ID,Sales,1,,
Historic Transactional Information,Sales,1,,
Historic Sales by Sales Representative,Sales,1,,
Historic Sales by Dealer,Sales,1,,
Dealer Sales Goal Sales,Sales,1,,
Dealer Projected Total Sales,Sales,1,,
Dealer YTD Total Sales,Sales,1,,
Budget for Dealer Projects,Sales,1,,
Budget for Events Projects,Sales,1,,
Budget for General Projects,Sales,1,,
Budget for Markating Projects,Sales,1,,
Budget for Sales Project,Sales,1,,
Spend on Dealer Projects,Sales,1,,
Spend on Events Projects,Sales,1,,
Spend on General Projects,Sales,1,,
Spend on Marketing Projects,Sales,1,,
Spend on Sales Projects,Sales,1,,
Spend on Sales Projects by Region,Sales,1,,
Budget for Sales Projects by Region,Sales,1,,
Sales by Year by Region,Sales,1,,
Planned Sales by Year by Region,Sales,1,,
Planned Market Share by Year by Region,Sales,1,,
Actual Market Share by Year by Region,Sales,1,,
Expected Market Share Growth by Year by Region,Sales,1,,
Sales by Year by MSA,Sales,1,,
Planned Sales by Year by MSA,Sales,1,,
Planned Market Share by Year by MSA,Sales,1,,
Actual Market Share by Year by MSA,Sales,1,,
Expected Market Share Growth by Year by MSA,Sales,1,,
Customer Satisfaction Survey,Sales,1,,
Dealer Code - Unique Identiifier,Sales,1,,
MSA Code - Unique Identifier,Sales,1,,
Region Code - Unique Identifier,Sales,1,,
Dealer Sales Volume,Sales,1,,
Dealer Potential Sales Volume,Sales,1,,
Dealer Sales Goal,Sales,1,,
Individual Assigned to MSA,Sales,1,,
Number of Dealers by MSA,Sales,1,,
Number of Dealers by Region,Sales,1,,
Forecast Sales by Region,Sales,1,,
Actual Sales by Region,Sales,1,,
Forecast Volume by Region,Sales,1,,
Actual Volume by Region,Sales,1,,
Projected Size of Anticipated Customer Wins,Sales,1,,
Notable Customer Wins,Sales,1,,
Notable Customer Losses,Sales,1,,
Global Accounts Sales Target,Sales,1,,
Global Accounts Actual Sales,Sales,1,,
Current Non-Dealer Opportunity - Owner Name,Sales,1,,
Current Non-Dealer Opportunity - Customer Name,Sales,1,,
Current Non-Dealer Opportunity - Region,Sales,1,,
Current Non-Dealer Opportunity - Stage,Sales,1,,
Current Non-Dealer Opportunity - Win Probability,Sales,1,,
Product Family Sales by Region,Sales,1,,
Product Family Planned Sales by Region,Sales,1,,
Product Family Margin by Region,Sales,1,,
Product Family Planned Margin by Region,Sales,1,,
Product Family Discounts by Region,Sales,1,,
Product Family Planned Discounts by Region,Sales,1,,
Sales Per Year to End Customer,Sales,1,,
Strategic Objective - Intuitive Adaptation,Sales,1,,
Strategic Objective - Ultimate Settings,Sales,1,,
Strategic Objective - Exceptional Accessories,Sales,1,,
Strategic Objective - Living Office Workplace Expertise,Sales,1,,
Projected Year 4 Sales for Product in Development,Sales,1,,
Level of Innovation for Product in Development,Sales,1,,
Anticipated Buzz Level of Product in Development,Sales,1,,
Name of Product in Developent,Sales,1,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Sales,1,,
CAD Drawings,Sales,1,,
Anticipated Launch Date for Product in Development,Sales,1,,
Projected Living Office Readiness,Sales,1,,
Dealer Living Office Readiness,Sales,1,,
Ranking of Organization Structure,Sales,1,,
Ranking of Work Processes,Sales,1,,
Ranking of Work Location,Sales,1,,
Ranking of Interactions,Sales,1,,
Ranking of Individual Work,Sales,1,,
Ranking of Group Work,Sales,1,,
Ranking of Seating Products to Each Work Setting,Sales,1,,
Square Feet Needed for Designed Configuration,Sales,1,,
Anticipated Landscape Types by Year to 2020,Sales,1,,
Anticipated Setting breakdown by Year to 2020,Sales,1,,
Spatial Recipe by Setting,Sales,1,,
Technology Needed For Setting,Sales,1,,
Start Order Entry,Sales,1,,
12 Month Sales Forecast,Sales,1,,
Market Launch Status,Sales,1,,
Project Value Proposition,Sales,1,,
Projected Annual Net Sales,Sales,1,,
Market Criteria,Sales,1,,
Market Launch Plan (which Showrooms),Sales,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,