id,source,target,target_type,edge_strength,
240,Spend on Sales Projects by Region,Department - Sales,2,1,
241,Budget for Sales Projects by Region,Department - Sales,2,1,
242,Sales by Year by Region,Department - Sales,2,1,
243,Planned Sales by Year by Region,Department - Sales,2,1,
244,Planned Market Share by Year by Region,Department - Sales,2,1,
245,Actual Market Share by Year by Region,Department - Sales,2,1,
246,Expected Market Share Growth by Year by Region,Department - Sales,2,1,
247,Sales by Year by MSA,Department - Sales,2,1,
248,Planned Sales by Year by MSA,Department - Sales,2,1,
249,Planned Market Share by Year by MSA,Department - Sales,2,1,
250,Actual Market Share by Year by MSA,Department - Sales,2,1,
251,Expected Market Share Growth by Year by MSA,Department - Sales,2,1,
252,Customer Satisfaction Survey,Department - Sales,2,1,
282,Sales Per Year to End Customer,Department - Sales,2,1,
40,Growth by MSA Region by Year,Department - Sales,2,1,
41,Shipment Growth by MSA Region by Year,Department - Sales,2,1,
103,Total Sales by Product SKU,Department - Sales,2,1,
104,Total Sales by Data or Order,Department - Sales,2,1,
146,List of Top Customers by MSA Region,Department - Sales,2,1,
147,Sales Quantity by Month by Manufacturing Cell,Department - Sales,2,1,
148,Top Potential Customers by MSA Region,Department - Sales,2,1,
149,Market Size by MSA Region by Year,Department - Sales,2,1,
150,Potential Sales by MSA Region by Year,Department - Sales,2,1,
151,Shipments by MSA Region by Year,Department - Sales,2,1,
152,Target Sales by MSA Region by Year,Department - Sales,2,1,
153,Target Sales by MSA Region by Segment by Year,Department - Sales,2,1,
154,Number of Employees at each Customer,Department - Sales,2,1,
155,Ranking of Each Customer Nationally,Department - Sales,2,1,
156,Potential Sales for Projected Per Customer,Department - Sales,2,1,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Department - Sales,2,1,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Department - Sales,2,1,
159,Sales vs. Plan by MSA Region,Department - Sales,2,1,
253,Dealer Code - Unique Identifier,Department - Sales,2,1,
254,MSA Code - Unique Identifier,Department - Sales,2,1,
255,Region Code - Unique Identifier,Department - Sales,2,1,
256,Dealer Sales Volume,Department - Sales,2,1,
257,Dealer Potential Sales Volume,Department - Sales,2,1,
258,Dealer Sales Goal,Department - Sales,2,1,
259,Individual Assigned to MSA,Department - Sales,2,1,
260,Number of Dealers by MSA,Department - Sales,2,1,
261,Number of Dealers by Region,Department - Sales,2,1,
262,Forecast Sales by Region,Department - Sales,2,1,
263,Actual Sales by Region,Department - Sales,2,1,
264,Forecast Volume by Region,Department - Sales,2,1,
265,Actual Volume by Region,Department - Sales,2,1,
266,Projected Size of Anticipated Customer Wins,Department - Sales,2,1,
267,Notable Customer Wins,Department - Sales,2,1,
268,Notable Customer Losses,Department - Sales,2,1,
269,Global Accounts Sales Target,Department - Sales,2,1,
270,Global Accounts Actual Sales,Department - Sales,2,1,
271,Current Non-Dealer Opportunity - Owner Name,Department - Sales,2,1,
272,Current Non-Dealer Opportunity - Customer Name,Department - Sales,2,1,
273,Current Non-Dealer Opportunity - Region,Department - Sales,2,1,
274,Current Non-Dealer Opportunity - Stage,Department - Sales,2,1,
275,Current Non-Dealer Opportunity - Win Probability,Department - Sales,2,1,
276,Product Family Sales by Region,Department - Sales,2,1,
277,Product Family Planned Sales by Region,Department - Sales,2,1,
278,Product Family Margin by Region,Department - Sales,2,1,
279,Product Family Planned Margin by Region,Department - Sales,2,1,
280,Product Family Discounts by Region,Department - Sales,2,1,
281,Product Family Planned Discounts by Region,Department - Sales,2,1,
172,Customer Name,Department - Sales,2,1,
173,Customer ID,Department - Sales,2,1,
174,Customer Address,Department - Sales,2,1,
175,Customer Annual Revenue,Department - Sales,2,1,
176,Customer Number of Employees,Department - Sales,2,1,
177,Customer Opportunity ID,Department - Sales,2,1,
178,Customer Opportunity Name,Department - Sales,2,1,
179,Customer Opportunity Description,Department - Sales,2,1,
180,Customer Opportunity Value,Department - Sales,2,1,
181,Years HM has had relationship with customer,Department - Sales,2,1,
182,Customer Sales Region,Department - Sales,2,1,
183,Customer NAICs Code,Department - Sales,2,1,
184,Customer Jigsaw company ID,Department - Sales,2,1,
185,Customer Duns Company ID,Department - Sales,2,1,
283,Job Title of Respondent,Department - Research,2,1,
284,Region of Respondent,Department - Research,2,1,
285,Company Size of Respondent,Department - Research,2,1,
286,Aesthetic/Importance to Company of Respondent,Department - Research,2,1,
287,Degree to Which Technology is Having an Impact on Respondent's Company,Department - Research,2,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondent's Company,Department - Research,2,1,
289,Top Drivers of Change for Workplace Portfolio at Respondent's Company,Department - Research,2,1,
290,Percent of Workplace Reconfigured Annually at Respondent's Company,Department - Research,2,1,
291,Where Respondent Obtains Workplace Ideas,Department - Research,2,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Department - Research,2,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Department - Research,2,1,
45,Projected Total Investment Required for Project,Department - Research,2,1,
46,Projected Gross Margin for Project,Department - Research,2,1,
47,Projected 10 Year MVA for Project,Department - Research,2,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Department - Research,2,1,
49,Project Problem Statement,Department - Research,2,1,
50,Customer Needs met by Project,Department - Research,2,1,
51,Strategic Needs Satisfied by Project,Department - Research,2,1,
52,Project Positioning Statement,Department - Research,2,1,
53,Project Key Market Based Product Criteria,Department - Research,2,1,
54,Project Points of Differentiation,Department - Research,2,1,
55,Project Vocabulary,Department - Research,2,1,
56,Project Competitive Assessment,Department - Research,2,1,
57,Project Competitive Cost Comparisons,Department - Research,2,1,
58,Project Cost Target,Department - Research,2,1,
59,Project Cost Estimate,Department - Research,2,1,
60,Project Design Challenges,Department - Research,2,1,
61,Project ID,Department - Research,2,1,
62,Project Status - Project in Trouble,Department - Research,2,1,
63,Project Status - Project Stage,Department - Research,2,1,
64,Project Status - Next Gate for Project,Department - Research,2,1,
65,Projected Budget for Month by Project,Department - Research,2,1,
66,Actual Budget for Month by Project,Department - Research,2,1,
67,Date of Next Milestone for Project,Department - Research,2,1,
68,Projected 5 Year MVA Cumulative,Department - Research,2,1,
69,Total Investment Needed by Project,Department - Research,2,1,
70,Development Expense by Project,Department - Research,2,1,
77,Project Financial Status,Department - Research,2,1,
78,Project Operations Status,Department - Research,2,1,
79,Project Market Opportunity,Department - Research,2,1,
82,Projected Gross Margin,Department - Research,2,1,
83,Projected EVA,Department - Research,2,1,
84,Projected 5 Year MVA Cumulative,Department - Research,2,1,
85,Recommended Capital Investment by Project,Department - Research,2,1,
86,Recommended Expense Investment by Project,Department - Research,2,1,
87,Projected Year 1 Sales,Department - Research,2,1,
88,Projected 5 Year Sales,Department - Research,2,1,
89,Projected Total Investment,Department - Research,2,1,
90,Projected Gross Margin,Department - Research,2,1,
91,Projected 5 Year Operating Income,Department - Research,2,1,
92,Projected 5 Year MVA Cumulative,Department - Research,2,1,
93,Narrative of Project Design Principles,Department - Research,2,1,
94,Narrative of Product Concept,Department - Research,2,1,
95,Market Opportunity Analysis,Department - Research,2,1,
98,Resource Plan - Full Time Engineers Required,Department - Research,2,1,
99,Narrative of Project Design/ Engineering Risks,Department - Research,2,1,
101,Narrative of Project Operations Risk,Department - Research,2,1,
102,Narrative of Project Financial Risks,Department - Research,2,1,
186,Names of Teams Engaged in Project Design Process,Department - Research,2,1,
187,Capacity - Total Headcount Needed for Current Project,Department - Research,2,1,
188,Capacity - Total Headcount Available,Department - Research,2,1,
210,Ranking of Organization Structure,Department - Performance Environments,2,1,
211,Ranking of Work Processes,Department - Performance Environments,2,1,
212,Ranking of Work Location,Department - Performance Environments,2,1,
213,Ranking of Interactions,Department - Performance Environments,2,1,
214,Ranking of Individual Work,Department - Performance Environments,2,1,
215,Ranking of Group Work,Department - Performance Environments,2,1,
38,Performance Environments - Chair Occupancy,Department - Performance Environments,2,1,
145,Performance Environments - Room Occupancy,Department - Performance Environments,2,1,
216,Price Points for Each Product Line,Department - Marketing,2,1,
217,Suitability of Each Product Line to Each Setting,Department - Marketing,2,1,
218,Suitability of Individual Products by Setting,Department - Marketing,2,1,
219,Pricing for Product Line by Setting by Size,Department - Marketing,2,1,
220,Gross Margin for Product Line by Setting by Size,Department - Marketing,2,1,
221,Ranking of Seating Products to Each Work Setting,Department - Marketing,2,1,
222,Square Feet Needed for Designed Configuration,Department - Marketing,2,1,
223,Anticipated Landscape Types by Year to 2020,Department - Marketing,2,1,
224,Anticipated Setting breakdown by Year to 2020,Department - Marketing,2,1,
225,Spatial Recipe by Setting,Department - Marketing,2,1,
226,Technology Needed For Setting,Department - Marketing,2,1,
5,HermanMiller.com Page Views by Product,Department - Marketing,2,1,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Department - Marketing,2,1,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Department - Marketing,2,1,
8,Top Brochures Shipped by Product,Department - Marketing,2,1,
9,Top Brochures Shipped - Workstations,Department - Marketing,2,1,
10,Top Brochures Shipped - Storage,Department - Marketing,2,1,
11,Sales - Gross,Department - Marketing,2,1,
12,Sales - % Change,Department - Marketing,2,1,
13,Margin - Gross,Department - Marketing,2,1,
14,Margin - % Change,Department - Marketing,2,1,
15,Direct Opex - Gross,Department - Marketing,2,1,
16,Direct Opex - % Change,Department - Marketing,2,1,
17,Direct Op Income - Gross,Department - Marketing,2,1,
18,Direct Op Income - % Change,Department - Marketing,2,1,
19,Spend on Warranty - Gross,Department - Marketing,2,1,
20,Spend on Warranty - % Change,Department - Marketing,2,1,
21,Royalty - Gross,Department - Marketing,2,1,
22,Royalty - % Change,Department - Marketing,2,1,
23,Direct Op Income - Gross,Department - Marketing,2,1,
24,Direct Op Income - % Change,Department - Marketing,2,1,
25,Strategic Objective - Intuitive Adaptation,Department - Marketing,2,1,
26,Strategic Objective - Ultimate Settings,Department - Marketing,2,1,
27,Strategic Objective - Exceptional Accessories,Department - Marketing,2,1,
28,Strategic Objective - Living Office Workplace Expertise,Department - Marketing,2,1,
29,Projected Year 4 Sales for Product in Development,Department - Marketing,2,1,
30,Level of Innovation for Product in Development,Department - Marketing,2,1,
31,Anticipated Buzz Level of Product in Development,Department - Marketing,2,1,
32,Name of Product in Development,Department - Marketing,2,1,
37,Total Number of Online Sales,Department - Marketing,2,1,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Department - Marketing,2,1,
71,Market Launch Expense,Department - Marketing,2,1,
73,Start Order Entry,Department - Marketing,2,1,
74,12 Month Sales Forecast,Department - Marketing,2,1,
76,Market Launch Status,Department - Marketing,2,1,
80,Project Value Proposition,Department - Marketing,2,1,
81,Projected Annual Net Sales,Department - Marketing,2,1,
96,Market Criteria,Department - Marketing,2,1,
97,Market Launch Plan (which Showrooms),Department - Marketing,2,1,
100,Narrative of Project Marketing Risks,Department - Marketing,2,1,
130,Page accessed first after HermanMiller.com home page,Department - Marketing,2,1,
132,Anticipated Launch Date for Product in Development,Department - Marketing,2,1,
134,Projected Living Office Readiness,Department - Marketing,2,1,
135,Dealer Living Office Readiness,Department - Marketing,2,1,
4,Most Searched Words on HermanMiller.com,Department - Marketing,2,1,
125,Paid Search Criteria - Google Ad Words,Department - Marketing,2,1,
126,HermanMiller.com Page Views,Department - Marketing,2,1,
127,HermanMiller.com Page Views,Department - Marketing,2,1,
128,Device Used to Access HermanMiller.com,Department - Marketing,2,1,
129,% New Users Accessing HermanMiller.com,Department - Marketing,2,1,
131,Number of iPad App Portal Downloads,Department - Marketing,2,1,
136,% Respondents Able to Complete Tasks Online,Department - Marketing,2,1,
137,Website User Satisfaction,Department - Marketing,2,1,
138,Website Uptime,Department - Marketing,2,1,
139,Customer Personas,Department - Marketing,2,1,
140,Brand Awareness by Consumer Segments,Department - Marketing,2,1,
141,Brand Sentiment by Consumer Segments,Department - Marketing,2,1,
142,Online Generated Leads,Department - Marketing,2,1,
143,Self Service Usage,Department - Marketing,2,1,
144,Total Number of Online Accounts,Department - Marketing,2,1,
171,Website Satisfaction - HermanMiller.com,Department - Marketing,2,1,
189,Nielsen Segment Analysis,Department - Marketing,2,1,
190,Website Traffic Composition by State by page on site,Department - Marketing,2,1,
191,Website Traffic Gender Composition by Page,Department - Marketing,2,1,
192,Website Traffic Age Composition by Page,Department - Marketing,2,1,
193,Website Traffic by Income by Page,Department - Marketing,2,1,
194,Website Traffic by Net Worth by Page,Department - Marketing,2,1,
195,Website Traffic by Career Status by Page,Department - Marketing,2,1,
196,Website Traffic Top 5 Occupations by Page,Department - Marketing,2,1,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Department - Marketing,2,1,
198,Website Traffic Length of Residence at Current address by Page,Department - Marketing,2,1,
199,Website Traffic Top 5 Auto Make by Page,Department - Marketing,2,1,
200,Website Traffic Top 4 Psychographies by Page,Department - Marketing,2,1,
201,Count of File Formats for Downloaded Product Brochures,Department - Marketing,2,1,
202,Average Product Downloads per User,Department - Marketing,2,1,
203,Page views by Setting,Department - Marketing,2,1,
204,Number of Page Views by City,Department - Marketing,2,1,
205,Number of Users by City,Department - Marketing,2,1,
206,Work Products by Price point,Department - Marketing,2,1,
1,Records of Meetings Attended,Department - IT,2,1,
2,Records of Emails Sent (Sender and Recipients),Department - IT,2,1,
3,Records of Documents Shared (Author and Recipients),Department - IT,2,1,
160,Requested Screen Resolution,Department - IT,2,1,
161,Room Motion Sensor Activity,Department - IT,2,1,
162,Laptop Plugged In to presentation system,Department - IT,2,1,
163,Presentation system turned on,Department - IT,2,1,
164,Meeting Logs - Rooms,Department - IT,2,1,
165,Meeting Logs - People,Department - IT,2,1,
166,Meeting Logs - Scheduler,Department - IT,2,1,
167,Meeting Logs - Joined by Phone,Department - IT,2,1,
168,Shared Documents,Department - IT,2,1,
169,Email Logs,Department - IT,2,1,
170,Documents Shared Externally,Department - IT,2,1,
33,Number of Engineers Assigned to Each Product,Department - Design/Development,2,1,
34,Status of Each Task in Development Project,Department - Design/Development,2,1,
35,Core Issues and Resolutions for Each Product,Department - Design/Development,2,1,
36,Revenue Plan by Product,Department - Design/Development,2,1,
42,CAD Drawings,Department - Design/Development,2,1,
43,Lessons Learned in Development Process,Department - Design/Development,2,1,
123,List of Products that Belong in Each Configuration,Department - Design/Development,2,1,
124,Pricing of Products in Each Configuration,Department - Design/Development,2,1,
133,Status in HDP of Product,Department - Design/Development,2,1,
105,Customization Requests by Product Category,Department - Design/Development,2,1,
106,Part Number,Department - Design/Development,2,1,
107,Part Supplier,Department - Design/Development,2,1,
108,Narrative of Test Results / Observations,Department - Design/Development,2,1,
109,Narrative of Summary of Test Results,Department - Design/Development,2,1,
110,Tools Used for Test,Department - Design/Development,2,1,
111,Project Number,Department - Design/Development,2,1,
112,Project Name,Department - Design/Development,2,1,
113,Employee Creating Request,Department - Design/Development,2,1,
114,Employee Approving Request,Department - Design/Development,2,1,
115,Purpose of Test,Department - Design/Development,2,1,
116,Test Request Number,Department - Design/Development,2,1,
117,Test Status,Department - Design/Development,2,1,
118,BaaN Project Number,Department - Design/Development,2,1,
119,Baan Department,Department - Design/Development,2,1,
120,Project Number,Department - Design/Development,2,1,
121,Project Department,Department - Design/Development,2,1,
122,Test Classification,Department - Design/Development,2,1,
210,Ranking of Organization Structure,Department - Sales,2,1,
211,Ranking of Work Processes,Department - Sales,2,1,
212,Ranking of Work Location,Department - Sales,2,1,
213,Ranking of Interactions,Department - Sales,2,1,
214,Ranking of Individual Work,Department - Sales,2,1,
215,Ranking of Group Work,Department - Sales,2,1,
221,Ranking of Seating Products to Each Work Setting,Department - Sales,2,1,
222,Square Feet Needed for Designed Configuration,Department - Sales,2,1,
223,Anticipated Landscape Types by Year to 2020,Department - Sales,2,1,
224,Anticipated Setting breakdown by Year to 2020,Department - Sales,2,1,
225,Spatial Recipe by Setting,Department - Sales,2,1,
226,Technology Needed For Setting,Department - Sales,2,1,
25,Strategic Objective - Intuitive Adaptation,Department - Sales,2,1,
26,Strategic Objective - Ultimate Settings,Department - Sales,2,1,
27,Strategic Objective - Exceptional Accessories,Department - Sales,2,1,
28,Strategic Objective - Living Office Workplace Expertise,Department - Sales,2,1,
29,Projected Year 4 Sales for Product in Development,Department - Sales,2,1,
30,Level of Innovation for Product in Development,Department - Sales,2,1,
31,Anticipated Buzz Level of Product in Development,Department - Sales,2,1,
32,Name of Product in Development,Department - Sales,2,1,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Department - Sales,2,1,
132,Anticipated Launch Date for Product in Development,Department - Sales,2,1,
134,Projected Living Office Readiness,Department - Sales,2,1,
135,Dealer Living Office Readiness,Department - Sales,2,1,
42,CAD Drawings,Department - Sales,2,1,
33,Number of Engineers Assigned to Each Product,Department - Product Management,2,1,
34,Status of Each Task in Development Project,Department - Product Management,2,1,
35,Core Issues and Resolutions for Each Product,Department - Product Management,2,1,
36,Revenue Plan by Product,Department - Product Management,2,1,
43,Lessons Learned in Development Process,Department - Product Management,2,1,
133,Status in HDP of Product,Department - Product Management,2,1,
106,Part Number,Department - Product Management,2,1,
107,Part Supplier,Department - Product Management,2,1,
108,Narrative of Test Results / Observations,Department - Product Management,2,1,
109,Narrative of Summary of Test Results,Department - Product Management,2,1,
110,Tools Used for Test,Department - Product Management,2,1,
111,Project Number,Department - Product Management,2,1,
112,Project Name,Department - Product Management,2,1,
113,Employee Creating Request,Department - Product Management,2,1,
114,Employee Approving Request,Department - Product Management,2,1,
115,Purpose of Test,Department - Product Management,2,1,
116,Test Request Number,Department - Product Management,2,1,
117,Test Status,Department - Product Management,2,1,
118,BaaN Project Number,Department - Product Management,2,1,
119,Baan Department,Department - Product Management,2,1,
120,Project Number,Department - Product Management,2,1,
121,Project Department,Department - Product Management,2,1,
122,Test Classification,Department - Product Management,2,1,
45,Projected Total Investment Required for Project,Department - Design/Development,2,1,
46,Projected Gross Margin for Project,Department - Design/Development,2,1,
47,Projected 10 Year MVA for Project,Department - Design/Development,2,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Department - Design/Development,2,1,
49,Project Problem Statement,Department - Design/Development,2,1,
50,Customer Needs met by Project,Department - Design/Development,2,1,
51,Strategic Needs Satisfied by Project,Department - Design/Development,2,1,
52,Project Positioning Statement,Department - Design/Development,2,1,
53,Project Key Market Based Product Criteria,Department - Design/Development,2,1,
54,Project Points of Differentiation,Department - Design/Development,2,1,
55,Project Vocabulary,Department - Design/Development,2,1,
56,Project Competitive Assessment,Department - Design/Development,2,1,
57,Project Competitive Cost Comparisons,Department - Design/Development,2,1,
58,Project Cost Target,Department - Design/Development,2,1,
59,Project Cost Estimate,Department - Design/Development,2,1,
60,Project Design Challenges,Department - Design/Development,2,1,
61,Project ID,Department - Design/Development,2,1,
62,Project Status - Project in Trouble,Department - Design/Development,2,1,
63,Project Status - Project Stage,Department - Design/Development,2,1,
64,Project Status - Next Gate for Project,Department - Design/Development,2,1,
65,Projected Budget for Month by Project,Department - Design/Development,2,1,
66,Actual Budget for Month by Project,Department - Design/Development,2,1,
67,Date of Next Milestone for Project,Department - Design/Development,2,1,
68,Projected 5 Year MVA Cumulative,Department - Design/Development,2,1,
69,Total Investment Needed by Project,Department - Design/Development,2,1,
70,Development Expense by Project,Department - Design/Development,2,1,
77,Project Financial Status,Department - Design/Development,2,1,
78,Project Operations Status,Department - Design/Development,2,1,
79,Project Market Opportunity,Department - Design/Development,2,1,
82,Projected Gross Margin,Department - Design/Development,2,1,
83,Projected EVA,Department - Design/Development,2,1,
84,Projected 5 Year MVA Cumulative,Department - Design/Development,2,1,
85,Recommended Capital Investment by Project,Department - Design/Development,2,1,
