id,source,target,target_type,edge_strength,
86,Recommended Expense Investment by Project,Department - Design/Development,2,1,
87,Projected Year 1 Sales,Department - Design/Development,2,1,
88,Projected 5 Year Sales,Department - Design/Development,2,1,
89,Projected Total Investment,Department - Design/Development,2,1,
90,Projected Gross Margin,Department - Design/Development,2,1,
91,Projected 5 Year Operating Income,Department - Design/Development,2,1,
92,Projected 5 Year MVA Cumulative,Department - Design/Development,2,1,
93,Narrative of Project Design Principles,Department - Design/Development,2,1,
94,Narrative of Product Concept,Department - Design/Development,2,1,
95,Market Opportunity Analysis,Department - Design/Development,2,1,
98,Resource Plan - Full Time Engineers Required,Department - Design/Development,2,1,
99,Narrative of Project Design/ Engineering Risks,Department - Design/Development,2,1,
101,Narrative of Project Operations Risk,Department - Design/Development,2,1,
102,Narrative of Project Financial Risks,Department - Design/Development,2,1,
186,Names of Teams Engaged in Project Design Process,Department - Design/Development,2,1,
187,Capacity - Total Headcount Needed for Current Project,Department - Design/Development,2,1,
188,Capacity - Total Headcount Available,Department - Design/Development,2,1,
11,Sales - Gross,Department - Design/Development,2,1,
12,Sales - % Change,Department - Design/Development,2,1,
13,Margin - Gross,Department - Design/Development,2,1,
14,Margin - % Change,Department - Design/Development,2,1,
15,Direct Opex - Gross,Department - Design/Development,2,1,
16,Direct Opex - % Change,Department - Design/Development,2,1,
17,Direct Op Income - Gross,Department - Design/Development,2,1,
18,Direct Op Income - % Change,Department - Design/Development,2,1,
19,Spend on Warranty - Gross,Department - Design/Development,2,1,
20,Spend on Warranty - % Change,Department - Design/Development,2,1,
21,Royalty - Gross,Department - Design/Development,2,1,
22,Royalty - % Change,Department - Design/Development,2,1,
23,Direct Op Income - Gross,Department - Design/Development,2,1,
24,Direct Op Income - % Change,Department - Design/Development,2,1,
71,Market Launch Expense,Department - Design/Development,2,1,
73,Start Order Entry,Department - Design/Development,2,1,
74,12 Month Sales Forecast,Department - Design/Development,2,1,
76,Market Launch Status,Department - Design/Development,2,1,
80,Project Value Proposition,Department - Design/Development,2,1,
81,Projected Annual Net Sales,Department - Design/Development,2,1,
96,Market Criteria,Department - Design/Development,2,1,
97,Market Launch Plan (which Showrooms),Department - Design/Development,2,1,
100,Narrative of Project Marketing Risks,Department - Design/Development,2,1,
72,Target Product Cost,Department - Design/Development,2,1,
75,Product Development Status,Department - Design/Development,2,1,
25,Strategic Objective - Intuitive Adaptation,Department - Research,2,1,
26,Strategic Objective - Ultimate Settings,Department - Research,2,1,
27,Strategic Objective - Exceptional Accessories,Department - Research,2,1,
28,Strategic Objective - Living Office Workplace Expertise,Department - Research,2,1,
29,Projected Year 4 Sales for Product in Development,Department - Research,2,1,
30,Level of Innovation for Product in Development,Department - Research,2,1,
31,Anticipated Buzz Level of Product in Development,Department - Research,2,1,
32,Name of Product in Development,Department - Research,2,1,
132,Anticipated Launch Date for Product in Development,Department - Research,2,1,
134,Projected Living Office Readiness,Department - Research,2,1,
135,Dealer Living Office Readiness,Department - Research,2,1,
11,Sales - Gross,Department - Research,2,1,
12,Sales - % Change,Department - Research,2,1,
13,Margin - Gross,Department - Research,2,1,
14,Margin - % Change,Department - Research,2,1,
15,Direct Opex - Gross,Department - Research,2,1,
16,Direct Opex - % Change,Department - Research,2,1,
17,Direct Op Income - Gross,Department - Research,2,1,
18,Direct Op Income - % Change,Department - Research,2,1,
19,Spend on Warranty - Gross,Department - Research,2,1,
20,Spend on Warranty - % Change,Department - Research,2,1,
21,Royalty - Gross,Department - Research,2,1,
22,Royalty - % Change,Department - Research,2,1,
23,Direct Op Income - Gross,Department - Research,2,1,
24,Direct Op Income - % Change,Department - Research,2,1,
42,CAD Drawings,Department - Product Management,2,1,
45,Projected Total Investment Required for Project,Department - Product Management,2,1,
46,Projected Gross Margin for Project,Department - Product Management,2,1,
47,Projected 10 Year MVA for Project,Department - Product Management,2,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Department - Product Management,2,1,
49,Project Problem Statement,Department - Product Management,2,1,
50,Customer Needs met by Project,Department - Product Management,2,1,
51,Strategic Needs Satisfied by Project,Department - Product Management,2,1,
52,Project Positioning Statement,Department - Product Management,2,1,
53,Project Key Market Based Product Criteria,Department - Product Management,2,1,
54,Project Points of Differentiation,Department - Product Management,2,1,
55,Project Vocabulary,Department - Product Management,2,1,
56,Project Competitive Assessment,Department - Product Management,2,1,
57,Project Competitive Cost Comparisons,Department - Product Management,2,1,
58,Project Cost Target,Department - Product Management,2,1,
59,Project Cost Estimate,Department - Product Management,2,1,
60,Project Design Challenges,Department - Product Management,2,1,
61,Project ID,Department - Product Management,2,1,
62,Project Status - Project in Trouble,Department - Product Management,2,1,
63,Project Status - Project Stage,Department - Product Management,2,1,
64,Project Status - Next Gate for Project,Department - Product Management,2,1,
65,Projected Budget for Month by Project,Department - Product Management,2,1,
66,Actual Budget for Month by Project,Department - Product Management,2,1,
67,Date of Next Milestone for Project,Department - Product Management,2,1,
68,Projected 5 Year MVA Cumulative,Department - Product Management,2,1,
69,Total Investment Needed by Project,Department - Product Management,2,1,
70,Development Expense by Project,Department - Product Management,2,1,
77,Project Financial Status,Department - Product Management,2,1,
78,Project Operations Status,Department - Product Management,2,1,
79,Project Market Opportunity,Department - Product Management,2,1,
82,Projected Gross Margin,Department - Product Management,2,1,
83,Projected EVA,Department - Product Management,2,1,
84,Projected 5 Year MVA Cumulative,Department - Product Management,2,1,
85,Recommended Capital Investment by Project,Department - Product Management,2,1,
86,Recommended Expense Investment by Project,Department - Product Management,2,1,
87,Projected Year 1 Sales,Department - Product Management,2,1,
88,Projected 5 Year Sales,Department - Product Management,2,1,
89,Projected Total Investment,Department - Product Management,2,1,
90,Projected Gross Margin,Department - Product Management,2,1,
91,Projected 5 Year Operating Income,Department - Product Management,2,1,
92,Projected 5 Year MVA Cumulative,Department - Product Management,2,1,
93,Narrative of Project Design Principles,Department - Product Management,2,1,
94,Narrative of Product Concept,Department - Product Management,2,1,
95,Market Opportunity Analysis,Department - Product Management,2,1,
98,Resource Plan - Full Time Engineers Required,Department - Product Management,2,1,
99,Narrative of Project Design/ Engineering Risks,Department - Product Management,2,1,
101,Narrative of Project Operations Risk,Department - Product Management,2,1,
102,Narrative of Project Financial Risks,Department - Product Management,2,1,
186,Names of Teams Engaged in Project Design Process,Department - Product Management,2,1,
187,Capacity - Total Headcount Needed for Current Project,Department - Product Management,2,1,
188,Capacity - Total Headcount Available,Department - Product Management,2,1,
71,Market Launch Expense,Department - Product Management,2,1,
73,Start Order Entry,Department - Product Management,2,1,
74,12 Month Sales Forecast,Department - Product Management,2,1,
76,Market Launch Status,Department - Product Management,2,1,
80,Project Value Proposition,Department - Product Management,2,1,
81,Projected Annual Net Sales,Department - Product Management,2,1,
96,Market Criteria,Department - Product Management,2,1,
97,Market Launch Plan (which Showrooms),Department - Product Management,2,1,
100,Narrative of Project Marketing Risks,Department - Product Management,2,1,
72,Target Product Cost,Department - Product Management,2,1,
75,Product Development Status,Department - Product Management,2,1,
73,Start Order Entry,Department - Sales,2,1,
74,12 Month Sales Forecast,Department - Sales,2,1,
76,Market Launch Status,Department - Sales,2,1,
80,Project Value Proposition,Department - Sales,2,1,
81,Projected Annual Net Sales,Department - Sales,2,1,
96,Market Criteria,Department - Sales,2,1,
97,Market Launch Plan (which Showrooms),Department - Sales,2,1,
11,Sales - Gross,Department - Product Management,2,1,
12,Sales - % Change,Department - Product Management,2,1,
13,Margin - Gross,Department - Product Management,2,1,
14,Margin - % Change,Department - Product Management,2,1,
15,Direct Opex - Gross,Department - Product Management,2,1,
16,Direct Opex - % Change,Department - Product Management,2,1,
17,Direct Op Income - Gross,Department - Product Management,2,1,
18,Direct Op Income - % Change,Department - Product Management,2,1,
19,Spend on Warranty - Gross,Department - Product Management,2,1,
20,Spend on Warranty - % Change,Department - Product Management,2,1,
21,Royalty - Gross,Department - Product Management,2,1,
22,Royalty - % Change,Department - Product Management,2,1,
23,Direct Op Income - Gross,Department - Product Management,2,1,
24,Direct Op Income - % Change,Department - Product Management,2,1,
42,CAD Drawings,Department - Marketing,2,1,
25,Strategic Objective - Intuitive Adaptation,Department - Design/Development,2,1,
26,Strategic Objective - Ultimate Settings,Department - Design/Development,2,1,
27,Strategic Objective - Exceptional Accessories,Department - Design/Development,2,1,
28,Strategic Objective - Living Office Workplace Expertise,Department - Design/Development,2,1,
29,Projected Year 4 Sales for Product in Development,Department - Design/Development,2,1,
30,Level of Innovation for Product in Development,Department - Design/Development,2,1,
31,Anticipated Buzz Level of Product in Development,Department - Design/Development,2,1,
32,Name of Product in Development,Department - Design/Development,2,1,
132,Anticipated Launch Date for Product in Development,Department - Design/Development,2,1,
134,Projected Living Office Readiness,Department - Design/Development,2,1,
135,Dealer Living Office Readiness,Department - Design/Development,2,1,
41,Shipment Growth by MSA Region by Year,Link - Category,3,1,
152,Target Sales by MSA Region by Year,Link - Category,3,1,
153,Target Sales by MSA Region by Segment by Year,Link - Category,3,1,
210,Ranking of Organization Structure,Link - Customer,3,1,
211,Ranking of Work Processes,Link - Customer,3,1,
212,Ranking of Work Location,Link - Customer,3,1,
213,Ranking of Interactions,Link - Customer,3,1,
214,Ranking of Individual Work,Link - Customer,3,1,
215,Ranking of Group Work,Link - Customer,3,1,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Link - Customer,3,1,
44,Customer Opportunity Products,Link - Customer,3,1,
40,Growth by MSA Region by Year,Link - Customer,3,1,
146,List of Top Customers by MSA Region,Link - Customer,3,1,
148,Top Potential Customers by MSA Region,Link - Customer,3,1,
149,Market Size by MSA Region by Year,Link - Customer,3,1,
150,Potential Sales by MSA Region by Year,Link - Customer,3,1,
151,Shipments by MSA Region by Year,Link - Customer,3,1,
154,Number of Employees at each Customer,Link - Customer,3,1,
155,Ranking of Each Customer Nationally,Link - Customer,3,1,
156,Potential Sales for Projected Per Customer,Link - Customer,3,1,
172,Customer Name,Link - Customer,3,1,
173,Customer ID,Link - Customer,3,1,
174,Customer Address,Link - Customer,3,1,
175,Customer Annual Revenue,Link - Customer,3,1,
176,Customer Number of Employees,Link - Customer,3,1,
177,Customer Opportunity ID,Link - Customer,3,1,
178,Customer Opportunity Name,Link - Customer,3,1,
179,Customer Opportunity Description,Link - Customer,3,1,
180,Customer Opportunity Value,Link - Customer,3,1,
181,Years HM has had relationship with customer,Link - Customer,3,1,
182,Customer Sales Region,Link - Customer,3,1,
183,Customer NAICs Code,Link - Customer,3,1,
184,Customer Jigsaw company ID,Link - Customer,3,1,
185,Customer Duns Company ID,Link - Customer,3,1,
37,Total Number of Online Sales,Link - Customer,3,1,
139,Customer Personas,Link - Customer,3,1,
140,Brand Awareness by Consumer Segments,Link - Customer,3,1,
141,Brand Sentiment by Consumer Segments,Link - Customer,3,1,
143,Self Service Usage,Link - Customer,3,1,
144,Total Number of Online Accounts,Link - Customer,3,1,
171,Website Satisfaction - HermanMiller.com,Link - Customer,3,1,
38,Performance Environments - Chair Occupancy,Link - Customer,3,1,
145,Performance Environments - Room Occupancy,Link - Customer,3,1,
96,Market Criteria,Link - Customer,3,1,
97,Market Launch Plan (which Showrooms),Link - Customer,3,1,
50,Customer Needs met by Project,Link - Customer,3,1,
53,Project Key Market Based Product Criteria,Link - Customer,3,1,
95,Market Opportunity Analysis,Link - Customer,3,1,
208,Historic Sales by Sales Representative,Link - Customer,3,1,
209,Historic Sales by Dealer,Link - Customer,3,1,
282,Sales Per Year to End Customer,Link - Customer,3,1,
266,Projected Size of Anticipated Customer Wins,Link - Customer,3,1,
267,Notable Customer Wins,Link - Customer,3,1,
268,Notable Customer Losses,Link - Customer,3,1,
271,Current Non-Dealer Opportunity - Owner Name,Link - Customer,3,1,
272,Current Non-Dealer Opportunity - Customer Name,Link - Customer,3,1,
273,Current Non-Dealer Opportunity - Region,Link - Customer,3,1,
274,Current Non-Dealer Opportunity - Stage,Link - Customer,3,1,
275,Current Non-Dealer Opportunity - Win Probability,Link - Customer,3,1,
105,Customization Requests by Product Category,Link - Customer,3,1,
49,Project Problem Statement,Link - Customer,3,1,
170,Documents Shared Externally,Link - Customer,3,1,
207,Historic Transactional Information,Link - Customer,3,1,
189,Nielsen Segment Analysis,Link - Customer Segment,3,1,
191,Website Traffic Gender Composition by Page,Link - Customer Segment,3,1,
192,Website Traffic Age Composition by Page,Link - Customer Segment,3,1,
193,Website Traffic by Income by Page,Link - Customer Segment,3,1,
194,Website Traffic by Net Worth by Page,Link - Customer Segment,3,1,
195,Website Traffic by Career Status by Page,Link - Customer Segment,3,1,
196,Website Traffic Top 5 Occupations by Page,Link - Customer Segment,3,1,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Link - Customer Segment,3,1,
198,Website Traffic Length of Residence at Current address by Page,Link - Customer Segment,3,1,
199,Website Traffic Top 5 Auto Make by Page,Link - Customer Segment,3,1,
200,Website Traffic Top 4 Psychographies by Page,Link - Customer Segment,3,1,
1,Records of Meetings Attended,Link - Customer Segment,3,1,
2,Records of Emails Sent (Sender and Recipients),Link - Customer Segment,3,1,
3,Records of Documents Shared (Author and Recipients),Link - Customer Segment,3,1,
142,Online Generated Leads,Link - Customer Segment,3,1,
182,Customer Sales Region,Link - Customer Segment,3,1,
37,Total Number of Online Sales,Link - Customer Segment,3,1,
139,Customer Personas,Link - Customer Segment,3,1,
140,Brand Awareness by Consumer Segments,Link - Customer Segment,3,1,
141,Brand Sentiment by Consumer Segments,Link - Customer Segment,3,1,
137,Website User Satisfaction,Link - Customer Segment,3,1,
283,Job Title of Respondent,Link - Customer Segment,3,1,
284,Region of Respondent,Link - Customer Segment,3,1,
285,Company Size of Respondent,Link - Customer Segment,3,1,
286,Aesthetic/Importance to Company of Respondent,Link - Customer Segment,3,1,
287,Degree to Which Technology is Having an Impact on Respondent's Company,Link - Customer Segment,3,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondent's Company,Link - Customer Segment,3,1,
289,Top Drivers of Change for Workplace Portfolio at Respondent's Company,Link - Customer Segment,3,1,
290,Percent of Workplace Reconfigured Annually at Respondent's Company,Link - Customer Segment,3,1,
291,Where Respondent Obtains Workplace Ideas,Link - Customer Segment,3,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Link - Customer Segment,3,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Link - Customer Segment,3,1,
97,Market Launch Plan (which Showrooms),Link - Customer Segment,3,1,
95,Market Opportunity Analysis,Link - Customer Segment,3,1,
155,Ranking of Each Customer Nationally,Link - Customer Segment,3,1,
53,Project Key Market Based Product Criteria,Link - Customer Segment,3,1,
208,Historic Sales by Sales Representative,Link - Dealer,3,1,
209,Historic Sales by Dealer,Link - Dealer,3,1,
227,Dealer Sales Goal Sales,Link - Dealer,3,1,
228,Dealer Projected Total Sales,Link - Dealer,3,1,
229,Dealer YTD Total Sales,Link - Dealer,3,1,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Link - Dealer,3,1,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Link - Dealer,3,1,
252,Customer Satisfaction Survey,Link - Dealer,3,1,
253,Dealer Code - Unique Identifier,Link - Dealer,3,1,
256,Dealer Sales Volume,Link - Dealer,3,1,
257,Dealer Potential Sales Volume,Link - Dealer,3,1,
258,Dealer Sales Goal,Link - Dealer,3,1,
207,Historic Transactional Information,Link - Dealer,3,1,
187,Capacity - Total Headcount Needed for Current Project,Link - Employee,3,1,
188,Capacity - Total Headcount Available,Link - Employee,3,1,
167,Meeting Logs - Joined by Phone,Link - Employee,3,1,
168,Shared Documents,Link - Employee,3,1,
165,Meeting Logs - People,Link - Employee,3,1,
166,Meeting Logs - Scheduler,Link - Employee,3,1,
169,Email Logs,Link - Employee,3,1,
170,Documents Shared Externally,Link - Employee,3,1,
60,Project Design Challenges,Link - Employee,3,1,
62,Project Status - Project in Trouble,Link - Employee,3,1,
63,Project Status - Project Stage,Link - Employee,3,1,
186,Names of Teams Engaged in Project Design Process,Link - Employee,3,1,
154,Number of Employees at each Customer,Link - Employee,3,1,
155,Ranking of Each Customer Nationally,Link - Employee,3,1,
176,Customer Number of Employees,Link - Employee,3,1,
33,Number of Engineers Assigned to Each Product,Link - Employee,3,1,
34,Status of Each Task in Development Project,Link - Employee,3,1,
35,Core Issues and Resolutions for Each Product,Link - Employee,3,1,
259,Individual Assigned to MSA,Link - Employee,3,1,
271,Current Non-Dealer Opportunity - Owner Name,Link - Employee,3,1,
272,Current Non-Dealer Opportunity - Customer Name,Link - Employee,3,1,
273,Current Non-Dealer Opportunity - Region,Link - Employee,3,1,
274,Current Non-Dealer Opportunity - Stage,Link - Employee,3,1,
275,Current Non-Dealer Opportunity - Win Probability,Link - Employee,3,1,
247,Sales by Year by MSA,Link - MSA,3,1,
248,Planned Sales by Year by MSA,Link - MSA,3,1,
249,Planned Market Share by Year by MSA,Link - MSA,3,1,
250,Actual Market Share by Year by MSA,Link - MSA,3,1,
251,Expected Market Share Growth by Year by MSA,Link - MSA,3,1,
254,MSA Code - Unique Identifier,Link - MSA,3,1,
259,Individual Assigned to MSA,Link - MSA,3,1,
260,Number of Dealers by MSA,Link - MSA,3,1,
73,Start Order Entry,Link - Product,3,1,
74,12 Month Sales Forecast,Link - Product,3,1,
76,Market Launch Status,Link - Product,3,1,
80,Project Value Proposition,Link - Product,3,1,
81,Projected Annual Net Sales,Link - Product,3,1,
96,Market Criteria,Link - Product,3,1,
97,Market Launch Plan (which Showrooms),Link - Product,3,1,
42,CAD Drawings,Link - Product,3,1,
25,Strategic Objective - Intuitive Adaptation,Link - Product,3,1,
26,Strategic Objective - Ultimate Settings,Link - Product,3,1,
27,Strategic Objective - Exceptional Accessories,Link - Product,3,1,
28,Strategic Objective - Living Office Workplace Expertise,Link - Product,3,1,
29,Projected Year 4 Sales for Product in Development,Link - Product,3,1,
30,Level of Innovation for Product in Development,Link - Product,3,1,
31,Anticipated Buzz Level of Product in Development,Link - Product,3,1,
32,Name of Product in Development,Link - Product,3,1,
132,Anticipated Launch Date for Product in Development,Link - Product,3,1,
134,Projected Living Office Readiness,Link - Product,3,1,
135,Dealer Living Office Readiness,Link - Product,3,1,
50,Customer Needs met by Project,Link - Product,3,1,
51,Strategic Needs Satisfied by Project,Link - Product,3,1,
52,Project Positioning Statement,Link - Product,3,1,
53,Project Key Market Based Product Criteria,Link - Product,3,1,
54,Project Points of Differentiation,Link - Product,3,1,
55,Project Vocabulary,Link - Product,3,1,
56,Project Competitive Assessment,Link - Product,3,1,
57,Project Competitive Cost Comparisons,Link - Product,3,1,
58,Project Cost Target,Link - Product,3,1,
59,Project Cost Estimate,Link - Product,3,1,
60,Project Design Challenges,Link - Product,3,1,
61,Project ID,Link - Product,3,1,
62,Project Status - Project in Trouble,Link - Product,3,1,
63,Project Status - Project Stage,Link - Product,3,1,
64,Project Status - Next Gate for Project,Link - Product,3,1,
65,Projected Budget for Month by Project,Link - Product,3,1,
66,Actual Budget for Month by Project,Link - Product,3,1,
67,Date of Next Milestone for Project,Link - Product,3,1,
68,Projected 5 Year MVA Cumulative,Link - Product,3,1,
69,Total Investment Needed by Project,Link - Product,3,1,
70,Development Expense by Project,Link - Product,3,1,
77,Project Financial Status,Link - Product,3,1,
78,Project Operations Status,Link - Product,3,1,
79,Project Market Opportunity,Link - Product,3,1,
82,Projected Gross Margin,Link - Product,3,1,
83,Projected EVA,Link - Product,3,1,
84,Projected 5 Year MVA Cumulative,Link - Product,3,1,
85,Recommended Capital Investment by Project,Link - Product,3,1,
86,Recommended Expense Investment by Project,Link - Product,3,1,
87,Projected Year 1 Sales,Link - Product,3,1,
88,Projected 5 Year Sales,Link - Product,3,1,
89,Projected Total Investment,Link - Product,3,1,
90,Projected Gross Margin,Link - Product,3,1,
91,Projected 5 Year Operating Income,Link - Product,3,1,
92,Projected 5 Year MVA Cumulative,Link - Product,3,1,
93,Narrative of Project Design Principles,Link - Product,3,1,
94,Narrative of Product Concept,Link - Product,3,1,
95,Market Opportunity Analysis,Link - Product,3,1,
98,Resource Plan - Full Time Engineers Required,Link - Product,3,1,
99,Narrative of Project Design/ Engineering Risks,Link - Product,3,1,
101,Narrative of Project Operations Risk,Link - Product,3,1,
102,Narrative of Project Financial Risks,Link - Product,3,1,
186,Names of Teams Engaged in Project Design Process,Link - Product,3,1,
71,Market Launch Expense,Link - Product,3,1,
